Iter	RA1	AS1	SH1	RA5	AS5	AH5	RA10	AS10	SH10	RA15	AS15	SH15	RA20	AS20	SH20	RA30	AS30	SH30	RA50	AS50	SH50
500	0,35117	0,32535	0,3298	0,14477	0,12415	0,12459	0,10685	0,09497	0,08322	0,10061	0,0918	0,0752	0,09208	0,09172	0,05922	0,09708	0,09272	0,05977	0,09832	0,12304	0,045
600	0,42191	0,39046	0,39821	0,16266	0,13813	0,13916	0,12546	0,10973	0,09387	0,12497	0,10934	0,09329	0,11375	0,11646	0,06839	0,11463	0,11737	0,06827	0,12671	0,16615	0,05309
700	0,49336	0,45327	0,46624	0,21483	0,18296	0,19855	0,17734	0,14915	0,14727	0,1427	0,12867	0,10303	0,14308	0,12773	0,10271	0,1359	0,148	0,07849	0,15956	0,21999	0,06263
800	0,56898	0,53375	0,53568	0,27149	0,23146	0,24047	0,19829	0,16524	0,16186	0,16325	0,14857	0,11407	0,16245	0,14825	0,11475	0,16157	0,17877	0,08867	0,19882	0,27808	0,07215
900	0,6503	0,59995	0,61574	0,289	0,24351	0,25166	0,21419	0,1788	0,17117	0,18373	0,16975	0,12346	0,18641	0,16845	0,12392	0,18764	0,21938	0,09715	0,18612	0,21393	0,09556
1000	0,70491	0,64808	0,66705	0,30872	0,25596	0,26343	0,23157	0,19543	0,18073	0,22089	0,19363	0,16302	0,20811	0,19481	0,13455	0,20309	0,19518	0,13299	0,2186	0,25635	0,10497
1100	0,79088	0,71901	0,73926	0,3265	0,27051	0,27844	0,25328	0,21585	0,19516	0,25497	0,21477	0,19435	0,22769	0,22083	0,14595	0,22618	0,22307	0,14585	0,24844	0,30076	0,11694
1200	0,8658	0,79398	0,82973	0,34858	0,28629	0,29363	0,28242	0,23354	0,20572	0,27222	0,23284	0,2064	0,25431	0,2498	0,15767	0,25201	0,25039	0,1592	0,28147	0,35547	0,12965
1300	0,96693	0,87474	0,90145	0,38391	0,31592	0,3243	0,31197	0,26501	0,23764	0,2979	0,25814	0,2236	0,28369	0,27393	0,18757	0,27972	0,28367	0,17197	0,32029	0,40963	0,14402
1400	1,03478	0,94863	0,97584	0,4638	0,38848	0,40274	0,39085	0,32337	0,31974	0,31966	0,276	0,23239	0,31774	0,27472	0,23471	0,30323	0,3133	0,17974	0,35538	0,46637	0,15053
