Iterations;Area;
100;1.44;
600;1.17333;
1100;1.10545;
1600;0.96;
2100;0.998095;
2600;1.07692;
3100;0.84129;
3600;0.933333;
4100;0.92878;
4600;1.02609;
5100;0.922353;
5600;0.98;
6100;0.902295;
6600;0.957576;
7100;0.957746;
7600;0.938947;
8100;0.967901;
8600;0.902326;
9100;1.01451;
9600;0.93;
10100;0.942574;
10600;0.950943;
11100;1.01333;
11600;0.925517;
12100;0.90314;
12600;0.88254;
13100;0.872061;
13600;0.888235;
14100;0.980426;
14600;0.965479;
15100;0.964238;
15600;0.956923;
16100;0.914286;
16600;0.946506;
17100;1.00304;
17600;0.938182;
18100;0.965304;
18600;0.933333;
19100;0.924817;
19600;1.01143;
20100;0.935323;
20600;0.88932;
21100;0.921327;
21600;0.944444;
22100;0.967964;
22600;0.917522;
23100;0.904589;
23600;0.987797;
24100;0.926805;
24600;0.933333;
25100;0.935139;
25600;0.914375;
26100;0.950805;
26600;0.937744;
27100;0.933432;
27600;0.962319;
28100;0.960569;
28600;0.97007;
29100;0.953402;
29600;0.883243;
30100;1.0105;
30600;0.941176;
31100;0.930675;
31600;0.939747;
32100;0.932087;
32600;0.905031;
33100;0.969184;
33600;0.950952;
34100;0.909795;
34600;0.941503;
35100;0.971396;
35600;0.924045;
36100;0.944931;
36600;0.922842;
37100;0.931968;
37600;0.894468;
38100;0.919685;
38600;0.972435;
39100;0.919488;
39600;0.944242;
40100;0.922893;
40600;0.927685;
41100;0.927299;
41600;0.941923;
42100;0.953159;
42600;0.949108;
43100;0.915452;
43600;0.930642;
44100;0.93424;
44600;0.96861;
45100;0.920266;
45600;0.918246;
46100;0.930152;
46600;0.931159;
47100;0.956943;
47600;0.956639;
48100;0.968316;
48600;0.927737;
49100;0.920896;
49600;0.93871;
50100;0.963513;
50600;0.922055;
51100;0.942153;
51600;0.932713;
52100;0.965835;
52600;0.951179;
53100;0.934991;
53600;0.886269;
54100;0.928355;
54600;0.94359;
55100;0.928929;
55600;0.947626;
56100;0.921497;
56600;0.943039;
57100;0.975972;
57600;0.959444;
58100;0.935491;
58600;0.952901;
59100;0.928054;
59600;0.94953;
60100;0.906755;
60600;0.948119;
61100;0.95162;
61600;0.931688;
62100;0.909501;
62600;0.985048;
63100;0.908019;
63600;0.936101;
64100;0.936786;
64600;0.933994;
65100;0.940092;
65600;0.930244;
66100;0.954433;
66600;0.964805;
67100;0.944978;
67600;0.950296;
68100;0.948957;
68600;0.982624;
69100;0.909986;
69600;0.944368;
70100;0.949501;
70600;0.960453;
71100;0.934796;
71600;0.960894;
72100;0.950014;
72600;0.953829;
73100;0.92301;
73600;0.963913;
74100;0.922213;
74600;0.944772;
75100;0.94466;
75600;0.938836;
76100;0.963154;
76600;0.929504;
77100;0.944228;
77600;0.926186;
78100;0.938284;
78600;0.932519;
79100;0.968293;
79600;0.935678;
80100;0.945019;
80600;0.92804;
81100;0.930407;
81600;0.954314;
82100;0.940122;
82600;0.940242;
83100;0.9342;
83600;0.934545;
84100;0.932794;
84600;0.948463;
85100;0.943643;
85600;0.950841;
86100;0.926551;
86600;0.950023;
87100;0.966797;
87600;0.937169;
88100;0.940023;
88600;0.937065;
89100;0.942222;
89600;0.964821;
90100;0.966748;
90600;0.95117;
91100;0.94472;
91600;0.939214;
92100;0.936026;
92600;0.946523;
93100;0.960516;
93600;0.931624;
94100;0.943507;
94600;0.923975;
95100;0.93123;
95600;0.937406;
96100;0.932529;
96600;0.931014;
97100;0.933141;
97600;0.937869;
98100;0.939939;
98600;0.956268;
99100;0.94999;
99600;0.941847;
