Iter	RA1	RA100	RA200	RA500	RA1000
500	0,34481	0,12903	0,20741	0,76669	0,77194
600	0,41338	0,18022	0,29357	0,53814	1,04829
700	0,48229	0,23491	0,40637	0,73823	1,43327
800	0,55513	0,29578	0,54671	1,02765	1,88075
900	0,62393	0,23658	0,39404	1,36777	2,38543
1000	0,69412	0,2759	0,45357	1,48653	2,91719
1100	0,80615	0,32995	0,52108	0,9736	1,8028
1200	0,84272	0,37831	0,6133	1,11639	2,11594
1300	0,91317	0,43354	0,70433	1,29257	2,46207
1400	1,01788	0,4956	0,80466	1,48864	2,8959
1500	1,04513	0,55352	0,93093	1,7183	3,36391
1600	1,12612	0,61975	1,10063	1,93758	3,78728
1700	1,19594	0,45004	0,6775	2,20064	4,21992
1800	1,27921	0,49812	0,74218	2,42538	4,6968
1900	1,33955	0,55026	0,81482	2,73374	5,22833
2000	1,41637	0,58776	0,89873	3,02146	5,93359
2100	1,48241	0,64219	1,07401	1,76975	3,34042
2200	1,59471	0,70338	1,085	1,95312	3,67876
2300	1,64679	0,73778	1,26556	2,13183	3,98776
2400	1,73023	0,84944	1,35858	2,32486	4,3298
2500	1,7921	0,84161	1,36419	2,49651	4,69548
2600	1,86681	0,91767	1,47805	2,64907	5,12667
2700	1,93677	0,96144	1,5849	2,84398	5,48048
2800	2,01622	1,03631	1,71404	3,07058	5,84572
2900	2,08749	1,08743	1,81112	3,29063	6,28244
3000	2,19903	1,15355	1,91804	3,51813	6,76062
3100	2,37659	1,21398	2,03381	3,76196	7,20272
3200	2,31084	1,28505	2,16848	4,01304	7,60857
3300	2,39079	0,93202	1,34578	4,21519	8,09711
3400	2,48268	0,9784	1,41247	4,42071	8,53433
3500	2,53156	1,02684	1,51947	4,70915	9,16174
3600	2,6333	1,08115	1,72364	5,02459	9,55001
3700	2,65892	1,09732	1,63141	5,24628	10,1191
3800	2,76218	1,25093	1,73085	5,56748	10,6784
3900	2,83285	1,31783	1,95003	5,84302	11,2563
4000	2,89798	1,24694	1,89337	6,18552	11,8401
4100	2,96744	1,30303	1,96601	3,4246	6,3677
4200	3,03951	1,33241	2,05524	3,63804	6,67493
4300	3,18934	1,39414	2,24704	3,74614	6,96412
4400	3,1855	1,44095	2,24929	3,91083	7,28696
4500	3,31123	1,48645	2,34055	4,11921	7,69614
4600	3,33801	1,55316	2,41287	4,31984	8,07104
4700	3,44285	1,60606	2,52698	4,49553	8,446
4800	3,53778	1,67469	2,62319	4,63686	8,66045
4900	3,55823	1,71384	2,72172	4,87763	9,14927
5000	3,64826	1,7745	2,8016	5,08202	9,36722
5100	3,85683	1,99464	2,9053	5,21761	9,76054
5200	3,79656	1,90542	3,01525	5,42348	10,0954
5300	3,85906	1,94794	3,13394	5,67899	10,443
5400	3,95313	2,0129	3,32382	5,79903	10,8683
5500	4,01338	2,08443	3,37026	6,04285	11,5466
5600	4,14966	2,13245	3,42556	7,63389	12,976
5700	4,32646	2,30011	3,75573	6,54026	12,2908
5800	4,22656	2,3333	3,71214	6,73875	13,1418
5900	4,32294	2,34324	3,8232	6,92122	13,0702
6000	4,38633	2,4094	3,98284	7,18882	13,8862
6100	4,49345	2,74277	4,18422	7,44741	14,3517
6200	4,60819	2,5246	4,1597	7,61126	14,431
6300	4,63695	2,69516	4,34385	7,86175	16,2553
6400	4,92452	2,79489	4,62083	8,08291	15,389
6500	4,78764	1,92838	2,73045	8,46307	15,7982
6600	4,89428	1,96811	2,81742	8,50476	16,4356
6700	4,98925	2,03316	2,90557	8,86728	16,864
6800	5,0547	2,07079	3,16011	9,14334	17,6392
6900	5,10314	2,10275	3,03225	9,73917	17,9655
7000	5,21593	2,15432	3,14362	9,66188	18,3608
7100	5,29355	2,22268	3,34845	9,84052	18,7093
7200	5,32887	2,24438	3,31368	10,0505	19,5585
7300	5,38883	2,27854	3,36657	10,3355	19,8541
7400	5,71243	2,38234	3,41166	10,71	20,4924
7500	5,60156	2,37634	3,48759	10,8165	20,806
7600	5,59183	2,41192	3,56815	11,2853	21,5459
7700	5,74843	2,48643	3,68973	11,6212	22,1056
7800	5,74837	2,52875	3,73083	11,9062	22,9904
7900	5,81243	2,82074	3,87396	12,071	22,9994
8000	5,89137	2,83361	3,95548	12,7319	23,5489
8100	5,97604	2,65964	4,03904	7,06975	12,5925
8200	6,06066	2,72026	4,12037	7,02626	13,4383
8300	6,13663	2,76853	4,18718	7,24319	13,2726
8400	6,47868	2,8231	4,25426	7,79184	13,7163
8500	6,32752	2,90067	4,36381	7,56857	13,9365
8600	6,40113	2,93114	4,54193	7,75784	14,2969
8700	6,46301	3,00879	4,53599	8,49702	14,7023
8800	6,55343	3,02569	4,6541	8,09709	15,0076
8900	6,66734	3,07391	4,70806	8,18673	15,1761
9000	6,67999	3,12005	4,81361	8,405	15,5818
9100	6,84027	3,1822	4,91777	8,54574	15,8377
9200	6,84214	3,29627	4,9922	8,79089	16,6144
9300	6,99042	3,34573	5,09216	8,98413	16,5432
9400	6,99696	3,35378	5,30444	9,13899	17,0429
9500	7,13381	3,42251	5,32532	9,30631	17,3437
9600	7,24584	3,4607	5,37725	9,38186	17,6808
9700	7,23265	3,54291	5,53472	9,72998	17,9777
9800	7,31244	3,59096	5,60513	9,83106	18,2318
9900	7,37265	3,6912	5,85337	10,0499	18,8182
10000	7,51976	3,70638	5,88379	10,1431	19,233
