Iterations;Area1;Area2;Area3;
100;1.44;0.8;0.32;
600;1.17333;0.96;0.773333;
1100;1.10545;0.741818;1.06182;
1600;0.96;0.9;0.77;
2100;0.998095;0.853333;0.967619;
2600;1.07692;0.947692;0.732308;
3100;0.84129;0.903226;1.00645;
3600;0.933333;0.991111;1.01333;
4100;0.92878;0.874146;0.885854;
4600;1.02609;0.956522;0.883478;
5100;0.922353;1.00392;0.953725;
5600;0.98;0.908571;0.968571;
6100;0.902295;0.952131;0.96;
6600;0.957576;0.969697;0.996364;
7100;0.957746;0.937465;0.996056;
7600;0.938947;0.915789;0.901053;
8100;0.967901;0.969877;0.965926;
8600;0.902326;0.87814;0.917209;
9100;1.01451;0.995165;0.961758;
9600;0.93;0.948333;0.921667;
10100;0.942574;0.912475;0.953663;
10600;0.950943;0.958491;0.970566;
11100;1.01333;0.945586;0.994595;
11600;0.925517;0.991724;0.929655;
12100;0.90314;0.965289;0.991736;
12600;0.88254;0.952381;0.989206;
13100;0.872061;0.942901;0.962443;
13600;0.888235;0.903529;0.952941;
14100;0.980426;0.935035;0.956596;
14600;0.965479;0.977534;0.93589;
15100;0.964238;0.897483;0.918675;
15600;0.956923;0.922051;0.964103;
16100;0.914286;0.947081;0.92323;
16600;0.946506;0.921446;0.872289;
17100;1.00304;0.928187;0.932865;
17600;0.938182;0.941818;0.962727;
18100;0.965304;0.918453;0.96;
18600;0.933333;0.923871;0.925591;
19100;0.924817;0.966702;0.922304;
19600;1.01143;0.97551;0.92898;
20100;0.935323;0.960796;0.932139;
20600;0.88932;0.900971;0.914175;
21100;0.921327;0.917536;0.916777;
21600;0.944444;0.897037;0.964444;
22100;0.967964;0.949864;0.973756;
22600;0.917522;0.946549;0.951504;
23100;0.904589;0.920519;0.917056;
23600;0.987797;0.958644;0.971525;
24100;0.926805;0.964647;0.884315;
24600;0.933333;0.884553;0.94439;
25100;0.935139;0.880319;0.947251;
25600;0.914375;0.955625;0.918125;
26100;0.950805;0.972261;0.917701;
26600;0.937744;0.956391;0.976241;
27100;0.933432;0.953506;0.900959;
27600;0.962319;0.932174;0.950725;
28100;0.960569;0.937794;0.932669;
28600;0.97007;0.970629;0.937622;
29100;0.953402;0.958351;0.986942;
29600;0.883243;0.943784;0.963243;
30100;1.0105;0.952558;0.929169;
30600;0.941176;0.977778;0.95634;
31100;0.930675;0.935305;0.953312;
31600;0.939747;0.915443;0.971646;
32100;0.932087;0.971464;0.914143;
32600;0.905031;0.944294;0.948712;
33100;0.969184;0.914079;0.926647;
33600;0.950952;0.93381;0.925714;
34100;0.909795;0.922933;0.908387;
34600;0.941503;0.969711;0.967399;
35100;0.971396;0.974587;0.91943;
35600;0.924045;0.968989;0.929438;
36100;0.944931;0.95867;0.95867;
36600;0.922842;0.932022;0.935519;
37100;0.931968;0.966038;0.947493;
37600;0.894468;0.951915;0.930213;
38100;0.919685;0.931444;0.946562;
38600;0.972435;0.95544;0.928083;
39100;0.919488;0.953453;0.963274;
39600;0.944242;0.97697;0.977778;
40100;0.922893;0.912918;0.924489;
40600;0.927685;0.94069;0.957241;
41100;0.927299;0.952214;0.952214;
41600;0.941923;0.953462;0.926923;
42100;0.953159;0.950879;0.96266;
42600;0.949108;0.890516;0.952488;
43100;0.915452;0.94478;0.919907;
43600;0.930642;0.948624;0.936881;
44100;0.93424;0.955283;0.961451;
44600;0.96861;0.976502;0.921256;
45100;0.920266;0.952195;0.972417;
45600;0.918246;0.929474;0.924211;
46100;0.930152;0.936399;0.954447;
46600;0.931159;0.949013;0.941803;
47100;0.956943;0.946072;0.9369;
47600;0.956639;0.951933;0.969076;
48100;0.968316;0.954345;0.939044;
48600;0.927737;0.924774;0.950453;
49100;0.920896;0.944358;0.948921;
49600;0.93871;0.969032;0.935484;
50100;0.963513;0.977246;0.949142;
50600;0.922055;0.927115;0.943874;
51100;0.942153;0.957495;0.942779;
51600;0.932713;0.925891;0.954419;
52100;0.965835;0.92499;0.946488;
52600;0.951179;0.954221;0.942053;
53100;0.934991;0.951864;0.940716;
53600;0.886269;0.952239;0.933433;
54100;0.928355;0.931608;0.951423;
54600;0.94359;0.950623;0.959414;
55100;0.928929;0.919347;0.943739;
55600;0.947626;0.93295;0.936403;
56100;0.921497;0.983102;0.932906;
56600;0.943039;0.937102;0.962827;
57100;0.975972;0.940946;0.941226;
57600;0.959444;0.958333;0.926389;
58100;0.935491;0.947057;0.939897;
58600;0.952901;0.949898;0.940887;
59100;0.928054;0.935905;0.931303;
59600;0.94953;0.933423;0.961611;
60100;0.906755;0.940566;0.929651;
60600;0.948119;0.953399;0.921716;
61100;0.95162;0.964975;0.95162;
61600;0.931688;0.941558;0.965974;
62100;0.909501;0.931659;0.956651;
62600;0.985048;0.928818;0.961022;
63100;0.908019;0.950365;0.9458;
63600;0.936101;0.961006;0.936855;
64100;0.936786;0.964243;0.933292;
64600;0.933994;0.950588;0.931269;
65100;0.940092;0.913548;0.947711;
65600;0.930244;0.933171;0.946341;
66100;0.954433;0.935068;0.954675;
66600;0.964805;0.955195;0.95039;
67100;0.944978;0.943308;0.908256;
67600;0.950296;0.919763;0.950533;
68100;0.948957;0.932276;0.952717;
68600;0.982624;0.932945;0.954169;
69100;0.909986;0.944486;0.943097;
69600;0.944368;0.929655;0.945747;
70100;0.949501;0.953381;0.927589;
70600;0.960453;0.939603;0.945949;
71100;0.934796;0.972827;0.972152;
71600;0.960894;0.928715;0.949721;
72100;0.950014;0.956671;0.938252;
72600;0.953829;0.952507;0.938623;
73100;0.92301;0.91513;0.949932;
73600;0.963913;0.941087;0.942174;
74100;0.922213;0.946397;0.955682;
74600;0.944772;0.930402;0.96429;
75100;0.94466;0.94743;0.964687;
75600;0.938836;0.91746;0.966138;
76100;0.963154;0.930775;0.937503;
76600;0.929504;0.938695;0.957076;
77100;0.944228;0.966018;0.929702;
77600;0.926186;0.933814;0.960412;
78100;0.938284;0.947093;0.92927;
78600;0.932519;0.928244;0.94514;
79100;0.968293;0.952718;0.922781;
79600;0.935678;0.958995;0.98191;
80100;0.945019;0.942222;0.926642;
80600;0.92804;0.950273;0.922283;
81100;0.930407;0.928631;0.923502;
81600;0.954314;0.970588;0.939412;
82100;0.940122;0.940706;0.956492;
82600;0.940242;0.923002;0.947215;
83100;0.9342;0.96;0.965199;
83600;0.934545;0.952344;0.931675;
84100;0.932794;0.941736;0.955244;
84600;0.948463;0.951111;0.956974;
85100;0.943643;0.974665;0.931798;
85600;0.950841;0.946355;0.939065;
86100;0.926551;0.936028;0.954611;
86600;0.950023;0.938014;0.949099;
87100;0.966797;0.972675;0.934099;
87600;0.937169;0.931872;0.950137;
88100;0.940023;0.951101;0.955641;
88600;0.937065;0.945734;0.934537;
89100;0.942222;0.955331;0.952637;
89600;0.964821;0.945;0.964464;
90100;0.966748;0.939401;0.972963;
90600;0.95117;0.945519;0.948168;
91100;0.94472;0.941383;0.930494;
91600;0.939214;0.957031;0.944279;
92100;0.936026;0.937068;0.954962;
92600;0.946523;0.936501;0.931836;
93100;0.960516;0.953469;0.934565;
93600;0.931624;0.942906;0.946838;
94100;0.943507;0.941637;0.952519;
94600;0.923975;0.918393;0.936152;
95100;0.93123;0.941661;0.95327;
95600;0.937406;0.938243;0.942427;
96100;0.932529;0.949344;0.96616;
96600;0.931014;0.938965;0.961988;
97100;0.933141;0.969228;0.943522;
97600;0.937869;0.953279;0.953934;
98100;0.939939;0.927217;0.939939;
98600;0.956268;0.957241;0.921866;
99100;0.94999;0.954995;0.936751;
99600;0.941847;0.940723;0.951325;
