Iter	RQ1	ASQ1	SHSQ1	RQ15	ASQ15	SHSQ15	RS	ASS	SHSS
100	0,00883333	0,00703333	0,00606667	0,0082	0,00503333	0,0045	0,0107	0,00596667	0,0053
200	0,0189667	0,0144667	0,0139	0,0177667	0,0094	0,0119667	0,0227333	0,0145667	0,0139667
300	0,0303333	0,0208333	0,0220667	0,0286667	0,0150333	0,0206333	0,038	0,0204667	0,0238667
400	0,0416	0,0282	0,0309	0,0381333	0,0200333	0,0281667	0,0546667	0,0298	0,0355
500	0,0547667	0,0356333	0,0418667	0,0504333	0,0271	0,0379667	0,0696667	0,0352333	0,0464667
600	0,0663667	0,0435333	0,0485667	0,0619667	0,0324	0,0475667	0,0849	0,0463667	0,0578
700	0,0796667	0,0490333	0,0588	0,073	0,0380667	0,0528	0,100833	0,0552333	0,0693333
800	0,0916333	0,057	0,0696333	0,0852667	0,0432	0,0621667	0,118633	0,0613	0,0787333
900	0,1083	0,0658	0,0761333	0,0994333	0,0478333	0,0712667	0,1336	0,0693667	0,0901333
1000	0,1223	0,0726333	0,088	0,108967	0,0546667	0,0779667	0,1571	0,076	0,102167
1100	0,132633	0,0833667	0,0994667	0,126967	0,0612333	0,0896333	0,167033	0,0917667	0,115667
1200	0,1438	0,0881333	0,105367	0,1362	0,0652	0,0972667	0,186233	0,0959333	0,122167
1300	0,158433	0,0934	0,131133	0,154567	0,0691333	0,104567	0,204367	0,115033	0,1382
1400	0,176	0,103433	0,1243	0,1603	0,0748667	0,116467	0,218733	0,107067	0,1534
1500	0,190833	0,113433	0,1369	0,171467	0,0802	0,119933	0,228367	0,131767	0,157867
1600	0,1941	0,114367	0,1419	0,181933	0,0959	0,1224	0,250667	0,130433	0,168467
1700	0,209133	0,1259	0,150467	0,1955	0,0942	0,137667	0,2687	0,1335	0,1844
1800	0,221933	0,134167	0,160733	0,2078	0,0979333	0,143867	0,284267	0,1523	0,1971
